ID	Gene_Symbol	U133A_Gene?	Subtyping_Signature_Gene?
1231	C1orf114	YES	
1232	C1orf122		
1233	C1orf123	YES	
1234	C1orf131		
1235	C1orf135	YES	
1236	C1orf141		
1237	C1orf146		
1238	C1orf159	YES	
1239	C1orf168		
1240	C1orf174	YES	
1241	C1orf182		
1242	C1orf185		
1243	C1orf187		
1244	C1orf189		
1245	C1orf192		
1246	C1orf194		
1247	C1orf198		
1248	C1orf21	YES	
1249	C1orf213		
1250	C1orf220		
1251	C1orf226		
1252	C1orf228		
1253	C1orf229		
1254	C1orf27	YES	
1255	C1orf31		
1256	C1orf35	YES	
1257	C1orf43	YES	
1258	C1orf50	YES	
1259	C1orf51		
1260	C1orf53		
1261	C1orf54	YES	
1262	C1orf56	YES	
1263	C1orf61	YES	
1264	C1orf63	YES	
1265	C1orf74		
1266	C1orf85		
1267	C1orf86		
1268	C1orf88		
1269	C1orf94		
1270	C1orf95		
1271	C1orf98		
1272	C1QBP	YES	
1273	C1QTNF2		
1274	C1QTNF3	YES	
1275	C1QTNF6		
1276	C1QTNF7		
1277	C1QTNF9		
1278	C1QTNF9B		
1279	C1RL	YES	
1280	C20orf111	YES	
1281	C20orf112	YES	
1282	C20orf132		
1283	C20orf152		
1284	C20orf196		
1285	C20orf20	YES	
1286	C20orf24	YES	
1287	C20orf26		
1288	C20orf27	YES	
1289	C20orf43	YES	
1290	C20orf72		
1291	C20orf94		
1292	C20orf96		
1293	C21orf119		
1294	C21orf2	YES	
1295	C21orf33	YES	
1296	C21orf37		
1297	C21orf49		
1298	C21orf58		
1299	C21orf59	YES	
1300	C21orf62	YES	
1301	C21orf67		
1302	C21orf7	YES	
1303	C21orf91	YES	
1304	C22orf13		
1305	C22orf23		
1306	C22orf25		
1307	C22orf28	YES	
1308	C22orf32		
1309	C22orf39		
1310	C22orf43		
1311	C22orf46		
1312	C2CD2		
1313	C2CD2L		
1314	C2CD3		
1315	C2CD4A		
1316	C2orf15		
1317	C2orf16		
1318	C2orf18	YES	
1319	C2orf27A		
1320	C2orf29		
1321	C2orf40		
1322	C2orf43	YES	
1323	C2orf44	YES	
1324	C2orf47	YES	
1325	C2orf48		
1326	C2orf49	YES	
1327	C2orf56	YES	
1328	C2orf63		
1329	C2orf65		
1330	C2orf66		
1331	C2orf68		
1332	C2orf72		
1333	C2orf74		
1334	C2orf76		
1335	C2orf81		
1336	C2orf82		
1337	C2orf88		
1338	C3orf15		
1339	C3orf18	YES	
1340	C3orf19		
1341	C3orf20		
1342	C3orf23		
1343	C3orf24		
1344	C3orf26		
1345	C3orf32	YES	
1346	C3orf33		
1347	C3orf35		
1348	C3orf37	YES	
1349	C3orf38		
1350	C3orf49		
1351	C3orf52	YES	
1352	C3orf62		
1353	C3orf65		
1354	C3orf70		
1355	C3orf71		
1356	C3orf72		
1357	C3orf75		
1358	C3orf77		
1359	C3orf78		
1360	C4orf19	YES	
1361	C4orf21		
1362	C4orf27	YES	
1363	C4orf29	YES	
1364	C4orf32		
1365	C4orf33		
1366	C4orf40		
1367	C4orf45		
1368	C4orf46		
1369	C4orf47		
1370	C4orf48		
1371	C4orf52		
1372	C4orf6	YES	
1373	C5	YES	
1374	C5orf15	YES	
1375	C5orf22	YES	
1376	C5orf24		
1377	C5orf25		
1378	C5orf34		
1379	C5orf4	YES	
1380	C5orf42		
1381	C5orf43		
1382	C5orf44		
1383	C5orf51		
1384	C5orf54		
1385	C5orf55		
1386	C5orf62		
1387	C5orf63		
1388	C5orf64		
1389	C6orf1		
1390	C6orf108	YES	
1391	C6orf118		
1392	C6orf120	YES	
1393	C6orf130	YES	
1394	C6orf136		
1395	C6orf141		
1396	C6orf163		
1397	C6orf170		
1398	C6orf195		
1399	C6orf201		
1400	C6orf203		
1401	C6orf223		
1402	C6orf226		
1403	C6orf25	YES	
1404	C6orf47	YES	
1405	C6orf48	YES	
1406	C6orf52		
1407	C6orf58		
1408	C6orf62	YES	
1409	C6orf70		
1410	C6orf89		
1411	C7orf10	YES	
1412	C7orf23	YES	
1413	C7orf25	YES	
1414	C7orf26	YES	
1415	C7orf31		
1416	C7orf43	YES	
1417	C7orf49	YES	
1418	C7orf50		
1419	C7orf55		
1420	C7orf57		
1421	C7orf59		
1422	C7orf60		
1423	C7orf61		
1424	C7orf62		
1425	C7orf63		
1426	C7orf73		
1427	C8orf31		
1428	C8orf33	YES	
1429	C8orf37		
1430	C8orf4	YES	
1431	C8orf40		
1432	C8orf42		
1433	C8orf44	YES	
1434	C8orf48		
1435	C8orf56		
1436	C8orf58		
1437	C8orf59		
1438	C8orf76		
1439	C8orf82		
1440	C9orf100		
1441	C9orf11		
1442	C9orf114		
1443	C9orf116	YES	
1444	C9orf117		
1445	C9orf139		
1446	C9orf142		
1447	C9orf152		
1448	C9orf153		
1449	C9orf156	YES	
1450	C9orf16	YES	
1451	C9orf169		
1452	C9orf170		
1453	C9orf171		
1454	C9orf174		
1455	C9orf3	YES	
1456	C9orf37		
1457	C9orf40	YES	
1458	C9orf41		
1459	C9orf50		
1460	C9orf57		
1461	C9orf64		
1462	C9orf72		
1463	C9orf78	YES	
1464	C9orf85		
1465	C9orf86		
1466	C9orf89		
1467	C9orf9	YES	
1468	C9orf96		
1469	CA10	YES	Proneural
1470	CA12	YES	
1471	CA13		
1472	CA14	YES	
1473	CA5B	YES	
1474	CA6	YES	
1475	CA7	YES	
1476	CA8	YES	
1477	CA9	YES	
1478	CABIN1	YES	
1479	CABLES2		
1480	CABP4		
1481	CABP5	YES	
1482	CABP7		
1483	CACHD1		
1484	CACNA1A	YES	
1485	CACNA1E	YES	
1486	CACNA1G	YES	
1487	CACNA1H	YES	
1488	CACNA2D1	YES	
1489	CACNA2D2	YES	
1490	CACNB3	YES	
1491	CACNG4	YES	
1492	CACNG7		
1493	CACNG8		
1494	CAD	YES	
1495	CADM1	YES	
1496	CADM3	YES	
1497	CADM4	YES	
1498	CADPS2	YES	
1499	CAGE1		
1500	CALB2	YES	
1501	CALCOCO2	YES	
1502	CALCRL	YES	
1503	CALD1	YES	
1504	CALHM2		
1505	CALML4	YES	
1506	CALR	YES	
1507	CALU	YES	
1508	CAMK1	YES	
1509	CAMK1G	YES	
1510	CAMK2B	YES	
1511	CAMK2D		
1512	CAMK2N2		
1513	CAMKMT		
1514	CAMLG	YES	
1515	CAMSAP1	YES	
1516	CAMTA1	YES	
1517	CAMTA2	YES	
1518	CAND1	YES	
1519	CAND2	YES	
1520	CANT1	YES	
1521	CANX	YES	
1522	CAP1	YES	
1523	CAPG	YES	
1524	CAPN1	YES	
1525	CAPN10	YES	
1526	CAPN12		
1527	CAPN2	YES	
1528	CAPN5	YES	
1529	CAPN7	YES	
1530	CAPNS1	YES	
1531	CAPRIN1	YES	
1532	CAPRIN2	YES	
1533	CAPS		
1534	CAPS2		
1535	CAPZA1	YES	
1536	CAPZB	YES	
1537	CARD10	YES	
1538	CARD14	YES	
1539	CARD16		
1540	CARD6		
1541	CARD8	YES	
1542	CARD9	YES	
1543	CARHSP1	YES	
1544	CARKD		
1545	CARM1	YES	
1546	CARS	YES	
1547	CARS2	YES	
1548	CASC3	YES	
1549	CASC4		
1550	CASC5	YES	
1551	CASD1	YES	
1552	CASK	YES	
1553	CASKIN1		
1554	CASKIN2	YES	
1555	CASP2	YES	
1556	CASP3	YES	
1557	CASP4	YES	
1558	CASP6	YES	
1559	CASP7	YES	
1560	CASP8	YES	
1561	CASP9	YES	
1562	CASQ1	YES	
1563	CASQ2	YES	
1564	CAST	YES	
1565	CASZ1	YES	
1566	CAT	YES	
1567	CATSPER2		
1568	CATSPER3		
1569	CATSPERB		
1570	CATSPERG		
1571	CAV1	YES	Mesenchymal
1572	CAV2	YES	
1573	CBFA2T2	YES	
1574	CBFB	YES	
1575	CBL	YES	
1576	CBLB	YES	
1577	CBLL1	YES	
1578	CBR1	YES	
1579	CBR3	YES	
1580	CBR4	YES	
1581	CBS	YES	
1582	CBWD1		
1583	CBWD2		
1584	CBWD6		
1585	CBX1	YES	
1586	CBX2	YES	
1587	CBX3	YES	
1588	CBX4	YES	
1589	CBX5	YES	
1590	CBX6	YES	
1591	CBX8	YES	
1592	CBY1	YES	
1593	CBY3		
1594	CC2D1A	YES	
1595	CC2D1B		
1596	CC2D2A		
1597	CCAR1		
1598	CCBE1		
1599	CCBL1	YES	
1600	CCBL2	YES	
1601	CCBP2	YES	
1602	CCDC101	YES	
1603	CCDC102A		
1604	CCDC102B	YES	
1605	CCDC103	YES	
1606	CCDC107		
1607	CCDC109B	YES	
1608	CCDC11		
1609	CCDC110		
1610	CCDC111		
1611	CCDC112		
1612	CCDC113		
1613	CCDC115		
1614	CCDC117		
1615	CCDC12		
1616	CCDC120		
1617	CCDC121	YES	
1618	CCDC122		
1619	CCDC124		
1620	CCDC126		
1621	CCDC127		
1622	CCDC130	YES	
1623	CCDC132		
1624	CCDC134	YES	
1625	CCDC137		
1626	CCDC138		
1627	CCDC14		
1628	CCDC141		
1629	CCDC142		
1630	CCDC144A	YES	
1631	CCDC144C		
1632	CCDC147		
1633	CCDC148		
1634	CCDC149		
1635	CCDC15	YES	
1636	CCDC150		
1637	CCDC151		
1638	CCDC157		
1639	CCDC158		
1640	CCDC159		
1641	CCDC163P		
1642	CCDC167		
1643	CCDC169		
1644	CCDC18		
1645	CCDC19	YES	
1646	CCDC22	YES	
1647	CCDC23		
1648	CCDC24		
1649	CCDC25	YES	
1650	CCDC28B	YES	
1651	CCDC34		
1652	CCDC38		
1653	CCDC39		
1654	CCDC40	YES	
1655	CCDC41	YES	
1656	CCDC43		
1657	CCDC47	YES	
1658	CCDC50		
1659	CCDC51	YES	
1660	CCDC57		
1661	CCDC58		
1662	CCDC59	YES	
1663	CCDC61		
1664	CCDC64	YES	
1665	CCDC65		
1666	CCDC66		
1667	CCDC7		
1668	CCDC71		
1669	CCDC73		
1670	CCDC74A		
1671	CCDC74B		
1672	CCDC75		
1673	CCDC77		
1674	CCDC79		
1675	CCDC8		
1676	CCDC80		
1677	CCDC81	YES	
1678	CCDC82		
1679	CCDC84		
1680	CCDC85B	YES	
1681	CCDC85C		
1682	CCDC86	YES	
1683	CCDC88A	YES	
1684	CCDC88C	YES	
1685	CCDC89		
1686	CCDC9	YES	
1687	CCDC90A	YES	
1688	CCDC90B	YES	
1689	CCDC91	YES	
1690	CCDC93	YES	
1691	CCDC94	YES	
1692	CCDC96		
1693	CCDC97		
1694	CCDC99	YES	
1695	CCHCR1	YES	
1696	CCKAR	YES	
1697	CCL2	YES	
1698	CCL26		
1699	CCM2		
1700	CCNA2	YES	
1701	CCNB1	YES	
1702	CCNB1IP1	YES	
1703	CCNB2	YES	
1704	CCNB3		
1705	CCND1	YES	
1706	CCND2	YES	
1707	CCND3	YES	
1708	CCNE1	YES	
1709	CCNE2	YES	
1710	CCNF	YES	
1711	CCNG1	YES	
1712	CCNG2	YES	
1713	CCNI	YES	
1714	CCNI2		
1715	CCNJ	YES	
1716	CCNJL	YES	
1717	CCNK	YES	
1718	CCNL1	YES	
1719	CCNL2	YES	
1720	CCNT1	YES	
1721	CCNT2	YES	
1722	CCNYL1		
1723	CCP110		
1724	CCR7	YES	
1725	CCR9	YES	
1726	CCRL1	YES	
1727	CCRN4L	YES	
1728	CCS	YES	
1729	CCT2	YES	
1730	CCT3	YES	
1731	CCT4	YES	
1732	CCT5	YES	
1733	CCT6A	YES	
1734	CCT6B	YES	
1735	CCT7	YES	
1736	CCT8	YES	
1737	CCZ1		
1738	CD101		
1739	CD109		
1740	CD151	YES	
1741	CD160	YES	
1742	CD164	YES	
1743	CD276		
1744	CD2AP	YES	
1745	CD2BP2	YES	
1746	CD302	YES	
1747	CD320	YES	
1748	CD36	YES	
1749	CD3EAP	YES	
1750	CD44	YES	
1751	CD46	YES	
1752	CD58	YES	
1753	CD59	YES	
1754	CD63	YES	
1755	CD70	YES	
1756	CD72	YES	Mesenchymal
1757	CD81	YES	
1758	CD82	YES	
1759	CD83	YES	
1760	CD9	YES	
1761	CD97	YES	
1762	CDADC1	YES	
1763	CDAN1		
1764	CDC123	YES	
1765	CDC14A	YES	
1766	CDC14B	YES	
1767	CDC16	YES	
1768	CDC20	YES	
1769	CDC23	YES	
1770	CDC25A	YES	
1771	CDC25B	YES	
1772	CDC25C	YES	
1773	CDC26		
1774	CDC34	YES	
1775	CDC37	YES	
1776	CDC40	YES	
1777	CDC42	YES	
1778	CDC42BPA	YES	
1779	CDC42BPB	YES	
1780	CDC42EP1	YES	
1781	CDC42EP2	YES	
1782	CDC42EP3	YES	
1783	CDC42EP4	YES	
1784	CDC42SE1		
1785	CDC42SE2		
1786	CDC45		
1787	CDC5L	YES	
1788	CDC6	YES	
1789	CDC7	YES	
1790	CDC73	YES	
1791	CDCA2		
1792	CDCA3	YES	
1793	CDCA4	YES	
1794	CDCA5		
1795	CDCA7		
1796	CDCA7L		
1797	CDCA8	YES	
1798	CDCP1	YES	Mesenchymal
1799	CDH1	YES	
1800	CDH10	YES	
1801	CDH11	YES	
1802	CDH13		
1803	CDH17	YES	
1804	CDH19	YES	
1805	CDH2	YES	
1806	CDH20	YES	
1807	CDH23		
1808	CDH24		
1809	CDH26		
1810	CDH3	YES	
1811	CDH4	YES	Classical
1812	CDH5	YES	
1813	CDH6	YES	
1814	CDHR1		
1815	CDHR2		
1816	CDHR3		
1817	CDIPT	YES	
1818	CDK1		
1819	CDK10	YES	
1820	CDK11A		
1821	CDK12		
1822	CDK13		
1823	CDK14		
1824	CDK16		
1825	CDK18		
1826	CDK19		
1827	CDK2	YES	
1828	CDK20		
1829	CDK2AP1	YES	
1830	CDK2AP2	YES	
1831	CDK4	YES	
1832	CDK5R2	YES	
1833	CDK5RAP1	YES	
1834	CDK5RAP2	YES	
1835	CDK5RAP3	YES	
1836	CDK6	YES	
1837	CDK7	YES	
1838	CDK8		
1839	CDK9	YES	
1840	CDKAL1	YES	
1841	CDKL1	YES	
1842	CDKL3	YES	
1843	CDKL4		
1844	CDKN1A	YES	
1845	CDKN1B	YES	
1846	CDKN1C	YES	Proneural
1847	CDKN2AIP	YES	
1848	CDKN2AIPNL		
1849	CDKN2B	YES	
1850	CDKN2C	YES	
1851	CDKN3	YES	
1852	CDNF		
1853	CDO1	YES	
1854	CDON	YES	
1855	CDR2	YES	
1856	CDR2L	YES	
1857	CDRT1		
1858	CDRT4		
1859	CDT1	YES	
1860	CDV3	YES	
1861	CDYL	YES	
1862	CEACAM19		
1863	CEBPB	YES	
1864	CEBPG	YES	
1865	CEBPZ	YES	
1866	CECR2		
1867	CECR5	YES	
1868	CECR6		
1869	CELF1		
1870	CELF2		
1871	CELF3		
1872	CELF5		
1873	CELSR1	YES	
1874	CELSR2	YES	
1875	CELSR3	YES	
1876	CEND1	YES	
1877	CENPA	YES	
1878	CENPB	YES	
1879	CENPBD1		
1880	CENPC1	YES	
1881	CENPE	YES	
1882	CENPF	YES	
1883	CENPH		
1884	CENPI	YES	
1885	CENPJ	YES	Proneural
1886	CENPK		
1887	CENPL		
1888	CENPM	YES	
1889	CENPN	YES	
1890	CENPO		
1891	CENPP		
1892	CENPQ	YES	
1893	CENPT	YES	
1894	CENPV		
1895	CENPW		
1896	CEP104		
1897	CEP112		
1898	CEP120		
1899	CEP128		
1900	CEP135	YES	
1901	CEP152	YES	
1902	CEP164	YES	
1903	CEP170	YES	
1904	CEP19		
1905	CEP192	YES	
1906	CEP250	YES	
1907	CEP290	YES	
1908	CEP350	YES	
1909	CEP44		
1910	CEP55	YES	
1911	CEP57	YES	
1912	CEP57L1		
1913	CEP63	YES	
1914	CEP68	YES	
1915	CEP70	YES	
1916	CEP72	YES	
1917	CEP76	YES	
1918	CEP78		
1919	CEP85		
1920	CEP89		
1921	CEP95		
1922	CEP97		
1923	CEPT1	YES	
1924	CERCAM		
1925	CERK	YES	
1926	CERKL		
1927	CERS1		
1928	CERS2		
1929	CERS4		
1930	CERS5		
1931	CERS6		
1932	CES2	YES	
1933	CES3	YES	
1934	CETN2	YES	
1935	CETN3	YES	
1936	CFDP1	YES	
1937	CFH	YES	
1938	CFI	YES	
1939	CFL1	YES	
1940	CFL2		
1941	CFLAR	YES	
1942	CFP	YES	
1943	CFTR	YES	
1944	CGGBP1	YES	
1945	CGN		
1946	CGNL1		
1947	CHAC1	YES	
1948	CHAC2		
1949	CHADL		
1950	CHAF1A	YES	
1951	CHAF1B	YES	
1952	CHCHD1		
1953	CHCHD10		
1954	CHCHD2	YES	
1955	CHCHD3	YES	
1956	CHCHD4		
1957	CHCHD5		
1958	CHCHD8	YES	
1959	CHD1	YES	
1960	CHD1L	YES	
1961	CHD2	YES	
1962	CHD3	YES	
1963	CHD4	YES	
1964	CHD5	YES	
1965	CHD6		
1966	CHD7	YES	
1967	CHD8	YES	
1968	CHD9	YES	
1969	CHDH		
1970	CHEK1	YES	
1971	CHEK2	YES	
1972	CHERP	YES	
1973	CHFR	YES	
1974	CHI3L1	YES	
1975	CHIC2	YES	
1976	CHID1		
1977	CHKA	YES	
1978	CHKB		
1979	CHL1	YES	
1980	CHML	YES	
1981	CHMP1A	YES	
1982	CHMP2A	YES	
1983	CHMP2B	YES	
1984	CHMP4B		
1985	CHMP4C		
1986	CHMP6	YES	
1987	CHMP7	YES	
1988	CHORDC1	YES	
1989	CHPF	YES	
1990	CHPF2		
1991	CHPT1	YES	
1992	CHRAC1		
1993	CHRD	YES	
1994	CHRFAM7A		
1995	CHRNA1	YES	
1996	CHRNA10	YES	
1997	CHRNA2	YES	
1998	CHRNA3	YES	
1999	CHRNA5	YES	
2000	CHRNA7		
2001	CHRNA9	YES	
2002	CHRNB1	YES	
2003	CHRNB2	YES	
2004	CHRND	YES	
2005	CHST1	YES	
2006	CHST10	YES	
2007	CHST11	YES	
2008	CHST12	YES	
2009	CHST14		
2010	CHST15		
2011	CHST2	YES	
2012	CHST3	YES	
2013	CHST5	YES	
2014	CHST6		
2015	CHST7	YES	
2016	CHST8	YES	
2017	CHST9		
2018	CHSY1	YES	
2019	CHSY3		
2020	CHTF18		
2021	CHTF8		
2022	CHTOP		
2023	CHUK	YES	
2024	CHURC1		
2025	CIAO1	YES	
2026	CIAPIN1	YES	
2027	CIB1	YES	
2028	CIB2	YES	
2029	CIB3		
2030	CIC	YES	
2031	CIDEB	YES	
2032	CINP	YES	
2033	CIRBP	YES	
2034	CIRH1A		
2035	CISD2		
2036	CISD3		
2037	CISH	YES	
2038	CIT	YES	
2039	CITED1	YES	
2040	CITED2	YES	
2041	CIZ1	YES	
2042	CKAP2	YES	
2043	CKAP2L		
2044	CKAP4	YES	
2045	CKAP5	YES	
2046	CKB	YES	
2047	CKLF	YES	
2048	CKM	YES	
2049	CKMT1A		
2050	CKMT2	YES	
2051	CKS1B	YES	
2052	CKS2	YES	
2053	CLASP1	YES	
2054	CLASRP		
2055	CLCC1	YES	
2056	CLCN1	YES	
2057	CLCN2	YES	
2058	CLCN3	YES	
2059	CLCN5	YES	
2060	CLCN6	YES	
2061	CLCN7	YES	
2062	CLDN1	YES	
2063	CLDN12		
2064	CLDN15	YES	
2065	CLDN16	YES	
2066	CLDN18	YES	
2067	CLDN4	YES	
2068	CLDN8	YES	
2069	CLDND1	YES	
2070	CLDND2		
2071	CLEC11A	YES	
2072	CLEC16A	YES	
2073	CLEC2B	YES	
2074	CLEC2D	YES	
2075	CLEC3B	YES	
2076	CLEC4C		
2077	CLGN	YES	Proneural
2078	CLIC1	YES	
2079	CLIC2	YES	
2080	CLIC4	YES	
2081	CLIC6		
2082	CLINT1	YES	
2083	CLIP1	YES	
2084	CLIP2	YES	
2085	CLIP3	YES	
2086	CLK1	YES	
2087	CLK2	YES	
2088	CLK3	YES	
2089	CLK4	YES	
2090	CLMN	YES	
2091	CLMP		
2092	CLN3	YES	
2093	CLN5	YES	
2094	CLN6	YES	
2095	CLN8	YES	
2096	CLNS1A	YES	
2097	CLOCK	YES	
2098	CLP1	YES	
2099	CLPB	YES	
2100	CLPP	YES	
2101	CLPTM1	YES	
2102	CLPTM1L		
2103	CLPX	YES	
2104	CLRN1		
2105	CLSPN	YES	
2106	CLSTN1	YES	
2107	CLSTN2	YES	
2108	CLSTN3	YES	
2109	CLTA	YES	
2110	CLTCL1	YES	
2111	CLU	YES	
2112	CLUAP1	YES	
2113	CLUL1	YES	
2114	CLVS1		
2115	CLYBL		
2116	CMBL		
2117	CMC1		
2118	CMIP		
2119	CMKLR1	YES	
2120	CMPK1		
2121	CMTM1		
2122	CMTM3		
2123	CMTM5		
2124	CMTM6	YES	
2125	CMTM7		
2126	CMYA5		
2127	CNBP	YES	
2128	CNDP2	YES	
2129	CNIH	YES	
2130	CNIH2		
2131	CNIH3	YES	
2132	CNIH4	YES	
2133	CNKSR1	YES	
2134	CNKSR3		
2135	CNN1	YES	
2136	CNN2	YES	Mesenchymal
2137	CNN3	YES	
2138	CNNM2	YES	
2139	CNNM3	YES	
2140	CNNM4	YES	
2141	CNOT1	YES	
2142	CNOT10		
2143	CNOT2	YES	
2144	CNOT3	YES	
2145	CNOT4	YES	
2146	CNOT6	YES	
2147	CNOT6L		
2148	CNOT7	YES	
2149	CNOT8	YES	
2150	CNP	YES	
2151	CNPPD1		
2152	CNPY1		
2153	CNPY2		
2154	CNPY3		
2155	CNPY4		
2156	CNR1	YES	
2157	CNRIP1		
2158	CNTD1		
2159	CNTD2	YES	
2160	CNTF		
2161	CNTLN		
2162	CNTN1	YES	
2163	CNTNAP1	YES	
2164	CNTNAP3		
2165	CNTNAP3B		
2166	CNTNAP5		
2167	CNTRL		
2168	CNTROB		
2169	COA5		
2170	COASY	YES	
2171	COBL	YES	
2172	COBLL1	YES	
2173	COBRA1		
2174	COCH	YES	
2175	COG1		
2176	COG2	YES	
2177	COG3		
2178	COG4	YES	
2179	COG5	YES	
2180	COG6		
2181	COG7	YES	
2182	COG8		
2183	COIL	YES	
2184	COL10A1	YES	
2185	COL11A1	YES	
2186	COL12A1		
2187	COL14A1	YES	
2188	COL15A1	YES	Mesenchymal
2189	COL16A1	YES	
2190	COL17A1	YES	
2191	COL18A1	YES	
2192	COL19A1	YES	
2193	COL1A1	YES	Mesenchymal
2194	COL1A2	YES	Mesenchymal
2195	COL20A1		
2196	COL21A1	YES	
2197	COL22A1		
2198	COL25A1		
2199	COL27A1		
2200	COL2A1	YES	
2201	COL3A1	YES	Mesenchymal
2202	COL4A1	YES	
2203	COL4A2	YES	
2204	COL4A3	YES	
2205	COL4A3BP	YES	
2206	COL4A4	YES	
2207	COL4A5	YES	
2208	COL4A6	YES	
2209	COL5A1	YES	Mesenchymal
2210	COL5A2	YES	
2211	COL6A1	YES	
2212	COL6A2	YES	
2213	COL6A6		
2214	COL7A1	YES	
2215	COL8A1	YES	
2216	COL9A1	YES	
2217	COL9A3	YES	
2218	COLEC10	YES	
2219	COLEC11	YES	
2220	COLEC12	YES	
2221	COLQ	YES	
2222	COMMD10	YES	
2223	COMMD2		
2224	COMMD4	YES	
2225	COMMD5		
2226	COMMD6		
2227	COMMD7		
2228	COMMD8	YES	
2229	COMMD9	YES	
2230	COMT	YES	
2231	COPA	YES	
2232	COPB1	YES	
2233	COPB2	YES	
2234	COPE	YES	
2235	COPG2		
2236	COPS2	YES	
2237	COPS5	YES	
2238	COPS6	YES	
2239	COPS7B	YES	
2240	COPZ1	YES	
2241	COPZ2	YES	
2242	COQ10A		
2243	COQ2	YES	
2244	COQ4	YES	
2245	COQ5		
2246	COQ6	YES	
2247	COQ7	YES	
2248	COQ9	YES	
2249	CORIN	YES	
2250	CORO1B	YES	
2251	CORO1C	YES	
2252	CORO2A	YES	
2253	CORO2B	YES	
2254	CORO7	YES	
2255	COTL1	YES	
2256	COX10	YES	
2257	COX11	YES	
2258	COX15	YES	
2259	COX16		
2260	COX17	YES	
2261	COX18		
2262	COX19		
2263	COX5A	YES	
2264	COX5B	YES	
2265	COX6A1	YES	
2266	COX6B1	YES	
2267	COX6B2		
2268	COX6C	YES	
2269	COX7A2	YES	
2270	COX7B	YES	
2271	COX7C	YES	
2272	COX8A	YES	
2273	CP	YES	
2274	CPA1	YES	
2275	CPA2	YES	
2276	CPA4	YES	
2277	CPA6		
2278	CPAMD8		
2279	CPB1	YES	
2280	CPB2	YES	
2281	CPD	YES	
2282	CPEB4		
2283	CPLX2	YES	
2284	CPM	YES	
2285	CPNE1	YES	
2286	CPNE2		
2287	CPNE3	YES	
2288	CPNE4		
2289	CPNE5		
2290	CPNE8		
2291	CPS1	YES	
2292	CPSF1	YES	
2293	CPSF2		
2294	CPSF3		
2295	CPSF3L	YES	
2296	CPSF4	YES	
2297	CPSF6	YES	
2298	CPSF7		
2299	CPT1A	YES	
2300	CPT1B	YES	
2301	CPT1C		
2302	CPT2	YES	
2303	CPVL	YES	
2304	CPXM1		
2305	CRABP2	YES	
2306	CRADD	YES	
2307	CRAMP1L		
2308	CRAT	YES	
2309	CRB1	YES	
2310	CRB2		
2311	CRCP		
2312	CREB1	YES	
2313	CREB3	YES	
2314	CREB3L1	YES	
2315	CREB3L2	YES	
2316	CREB3L4		
2317	CREB5	YES	
2318	CREBBP	YES	
2319	CREBZF	YES	
2320	CRELD1	YES	
2321	CRELD2	YES	
2322	CRIM1	YES	
2323	CRIP1	YES	
2324	CRIP2	YES	
2325	CRIP3		
2326	CRIPAK		
2327	CRIPT	YES	
2328	CRISPLD1		
2329	CRK	YES	
2330	CRKL	YES	
2331	CRLF3	YES	
2332	CRLS1		
2333	CRMP1	YES	
2334	CRNKL1	YES	
2335	CROCC	YES	
2336	CROT	YES	
2337	CRTAP	YES	
2338	CRTC1	YES	
2339	CRTC2		
2340	CRTC3	YES	
2341	CRX	YES	
2342	CRY1	YES	
2343	CRYBA4	YES	
2344	CRYBB2	YES	
2345	CRYBG3		
2346	CRYGS		
2347	CRYZ	YES	
2348	CS	YES	
2349	CSAD	YES	
2350	CSDA	YES	
2351	CSE1L	YES	
2352	CSF1	YES	
2353	CSGALNACT2		
2354	CSK	YES	
2355	CSMD2		
2356	CSMD3		
2357	CSNK1A1	YES	
2358	CSNK1D	YES	
2359	CSNK1E	YES	
2360	CSNK1G1	YES	
2361	CSNK1G2	YES	
2362	CSNK1G3	YES	
2363	CSNK2A1	YES	
2364	CSNK2A2	YES	
2365	CSNK2B	YES	
2366	CSPG4	YES	
2367	CSPG5	YES	
2368	CSPP1	YES	
2369	CSRNP1		
2370	CSRNP2		
2371	CSRP2	YES	
2372	CSRP2BP		
2373	CST3	YES	Classical
2374	CSTB	YES	
2375	CSTF1	YES	
2376	CSTF2	YES	
2377	CSTF2T	YES	
2378	CSTF3	YES	
2379	CTAGE5	YES	
2380	CTBP1	YES	
2381	CTBP2	YES	
2382	CTBS	YES	
2383	CTC1		
2384	CTCF	YES	
2385	CTDNEP1		
2386	CTDP1	YES	
2387	CTDSP1	YES	
2388	CTDSP2	YES	
2389	CTDSPL	YES	
2390	CTDSPL2		
2391	CTF1	YES	
2392	CTH	YES	
2393	CTHRC1		
2394	CTIF		
2395	CTNNA1	YES	
2396	CTNNA3	YES	
2397	CTNNAL1	YES	
2398	CTNNB1	YES	
2399	CTNNBL1	YES	
2400	CTNND1	YES	Classical
2401	CTNND2	YES	
2402	CTNS	YES	
2403	CTPS2	YES	
2404	CTR9	YES	
2405	CTRL	YES	
2406	CTSA	YES	
2407	CTSB	YES	Mesenchymal
2408	CTSC	YES	Mesenchymal
2409	CTSD	YES	
2410	CTSE	YES	
2411	CTSF	YES	
2412	CTSK	YES	
2413	CTSL1	YES	
2414	CTSL2	YES	
2415	CTSO	YES	
2416	CTSW	YES	
2417	CTTN	YES	
2418	CTTNBP2		
2419	CTTNBP2NL		
2420	CTU2		
2421	CTXN1		
2422	CUBN	YES	
2423	CUEDC1	YES	
