ID	Gene_Symbol	U133A_Gene?	Subtyping_Signature_Gene?
289	AKAP8L	YES	
290	AKAP9	YES	
291	AKD1		
292	AKIP1		
293	AKIRIN1		
294	AKIRIN2		
295	AKNA		
296	AKNAD1		
297	AKR1A1	YES	
298	AKR1B1	YES	
299	AKR1B10	YES	
300	AKR1B15		
301	AKR7A2	YES	
302	AKR7A3	YES	
303	AKR7L		
304	AKT1	YES	
305	AKT1S1		
306	AKT2	YES	
307	AKT3	YES	
308	ALAD	YES	
309	ALAS1	YES	
310	ALAS2	YES	
311	ALCAM	YES	
312	ALDH16A1		
313	ALDH18A1	YES	
314	ALDH1B1	YES	
315	ALDH1L1	YES	
316	ALDH1L2		
317	ALDH3A1	YES	
318	ALDH3A2	YES	
319	ALDH3B2	YES	
320	ALDH4A1	YES	
321	ALDH5A1	YES	
322	ALDH6A1	YES	
323	ALDH7A1	YES	
324	ALDH8A1	YES	
325	ALDH9A1	YES	
326	ALDOA	YES	
327	ALDOB	YES	
328	ALDOC	YES	
329	ALG1		
330	ALG10		
331	ALG10B		
332	ALG11		
333	ALG12	YES	
334	ALG13		
335	ALG14		
336	ALG1L		
337	ALG2		
338	ALG3	YES	
339	ALG5	YES	
340	ALG6	YES	
341	ALG8	YES	
342	ALG9	YES	
343	ALK	YES	
344	ALKBH1	YES	
345	ALKBH2		
346	ALKBH3		
347	ALKBH4	YES	
348	ALKBH5		
349	ALKBH6		
350	ALKBH7		
351	ALKBH8		
352	ALMS1	YES	
353	ALOX12	YES	
354	ALOX12B	YES	
355	ALPK1		
356	ALPK2		
357	ALPL	YES	
358	ALS2		
359	ALS2CR12		
360	ALS2CR8	YES	
361	ALX4	YES	
362	AMACR	YES	
363	AMBRA1		
364	AMD1	YES	
365	AMDHD1		
366	AMDHD2	YES	
367	AMFR	YES	
368	AMIGO1		
369	AMIGO2	YES	
370	AMIGO3		
371	AMMECR1	YES	
372	AMMECR1L		
373	AMOTL1		
374	AMOTL2	YES	
375	AMPD2	YES	
376	AMPD3	YES	
377	AMZ1		
378	ANAPC1	YES	
379	ANAPC10	YES	
380	ANAPC11		
381	ANAPC13	YES	
382	ANAPC16		
383	ANAPC2	YES	
384	ANAPC4		
385	ANAPC5	YES	
386	ANAPC7		
387	ANG	YES	
388	ANGEL1	YES	
389	ANGPT1	YES	
390	ANGPT2	YES	
391	ANGPTL1		
392	ANGPTL2	YES	
393	ANGPTL4	YES	
394	ANGPTL7	YES	
395	ANK1	YES	
396	ANK3	YES	
397	ANKAR		
398	ANKDD1A		
399	ANKFN1		
400	ANKFY1	YES	
401	ANKH		
402	ANKHD1		
403	ANKHD1-EIF4EBP3		
404	ANKIB1		
405	ANKK1		
406	ANKLE1		
407	ANKLE2		
408	ANKMY1	YES	
409	ANKMY2	YES	
410	ANKRA2	YES	
411	ANKRD10	YES	
412	ANKRD11	YES	
413	ANKRD12	YES	
414	ANKRD13A		
415	ANKRD13B		
416	ANKRD13C		
417	ANKRD13D		
418	ANKRD16		
419	ANKRD17	YES	
420	ANKRD20A3		
421	ANKRD20A4		
422	ANKRD23		
423	ANKRD26	YES	
424	ANKRD26P1		
425	ANKRD27	YES	
426	ANKRD28	YES	
427	ANKRD31		
428	ANKRD32		
429	ANKRD34A		
430	ANKRD35		
431	ANKRD36		
432	ANKRD36BP1		
433	ANKRD37		
434	ANKRD40	YES	
435	ANKRD42		
436	ANKRD44		
437	ANKRD45		
438	ANKRD49	YES	
439	ANKRD5	YES	
440	ANKRD50		
441	ANKRD52		
442	ANKRD53		
443	ANKRD54		
444	ANKRD55	YES	
445	ANKRD6	YES	
446	ANKRD7	YES	
447	ANKS1A	YES	
448	ANKS3		
449	ANKS6		
450	ANKUB1		
451	ANKZF1	YES	
452	ANLN		
453	ANO1		
454	ANO10		
455	ANO6		
456	ANO7		
457	ANO8		
458	ANP32A	YES	
459	ANP32B	YES	
460	ANP32E	YES	
461	ANPEP	YES	Mesenchymal
462	ANTXR1	YES	
463	ANTXR2		
464	ANXA1	YES	
465	ANXA10	YES	
466	ANXA13	YES	
467	ANXA2	YES	
468	ANXA4	YES	
469	ANXA5	YES	
470	ANXA6	YES	
471	ANXA9	YES	
472	AOC2	YES	
473	AP1AR		
474	AP1B1	YES	
475	AP1G1	YES	
476	AP1G2	YES	
477	AP1M1		
478	AP1M2	YES	
479	AP1S1	YES	
480	AP1S2	YES	
481	AP1S3		
482	AP2A1		
483	AP2B1	YES	
484	AP2S1	YES	
485	AP3B1	YES	
486	AP3B2	YES	
487	AP3D1	YES	
488	AP3M1		
489	AP3S2	YES	
490	AP4B1		
491	AP4E1	YES	
492	AP4M1	YES	
493	APAF1	YES	
494	APBA1	YES	
495	APBA2	YES	
496	APBA3	YES	
497	APBB2	YES	
498	APBB3	YES	
499	APC	YES	
500	APC2	YES	
501	APCDD1		
502	APCDD1L		
503	APEH	YES	
504	APEX1	YES	
505	APEX2	YES	
506	APH1A	YES	
507	APH1B	YES	
508	API5	YES	
509	APIP	YES	
510	APITD1	YES	
511	APLF		
512	APLP1	YES	
513	APLP2	YES	
514	APOA1BP		
515	APOBEC2	YES	
516	APOBEC3B	YES	
517	APOBEC3C	YES	
518	APOBEC3D		
519	APOBEC3F	YES	
520	APOBEC3G	YES	
521	APOBEC4		
522	APOF	YES	
523	APOH	YES	
524	APOL2	YES	
525	APOL3	YES	
526	APOL4		
527	APOL5	YES	
528	APOL6	YES	
529	APOM	YES	
530	APOO	YES	
531	APOOL	YES	
532	APP	YES	
533	APPBP2	YES	
534	APPL1	YES	
535	APPL2	YES	
536	APRT	YES	
537	APTX	YES	
538	AQP11		
539	AQP3	YES	
540	AQP8	YES	
541	AQR	YES	
542	AR	YES	
543	ARAF	YES	
544	ARAP1		
545	ARAP2		
546	ARAP3		
547	ARC	YES	
548	ARCN1	YES	
549	ARF1	YES	
550	ARF4	YES	
551	ARF5	YES	
552	ARF6	YES	
553	ARFGAP1	YES	
554	ARFGAP3	YES	
555	ARFGEF1	YES	
556	ARFIP1	YES	
557	ARFIP2	YES	
558	ARFRP1	YES	
559	ARG1	YES	
560	ARG2	YES	
561	ARGFX		
562	ARGLU1		
563	ARHGAP1	YES	
564	ARHGAP11A	YES	
565	ARHGAP11B		
566	ARHGAP17	YES	
567	ARHGAP18		
568	ARHGAP19	YES	
569	ARHGAP20		
570	ARHGAP21		
571	ARHGAP22	YES	
572	ARHGAP23		
573	ARHGAP25	YES	
574	ARHGAP28	YES	
575	ARHGAP29	YES	
576	ARHGAP31		
577	ARHGAP33		
578	ARHGAP35		
579	ARHGAP39		
580	ARHGAP4	YES	
581	ARHGAP42		
582	ARHGAP6	YES	
583	ARHGAP9		
